raw_name,canonical_name,entity_type,source_url,matched,startup_name
openai,OpenAI,STARTUP,https://github.com/openai,True,
microsoft,Microsoft,STARTUP,https://github.com/microsoft,True,
deepseek-ai,DeepSeek,STARTUP,https://github.com/deepseek-ai,True,
github,,STARTUP,https://github.com/github,False,
anthropics,Anthropic,STARTUP,https://github.com/anthropics,True,
google,Google,STARTUP,https://github.com/google,True,
huggingface,Hugging Face,STARTUP,https://github.com/huggingface,True,
TheAlgorithms,,STARTUP,https://github.com/TheAlgorithms,False,
EpicGames,,STARTUP,https://github.com/EpicGames,False,
modelcontextprotocol,,STARTUP,https://github.com/modelcontextprotocol,False,
Microsoft-corp,Microsoft,STARTUP,https://github.com/Microsoft-corp,True,
apple,Apple,STARTUP,https://github.com/apple,True,
Visual-Studio-Code,,STARTUP,https://github.com/Visual-Studio-Code,False,
facebookresearch,,STARTUP,https://github.com/facebookresearch,False,
facebook,,STARTUP,https://github.com/facebook,False,
freeCodeCamp,,STARTUP,https://github.com/freeCodeCamp,False,
python,,STARTUP,https://github.com/python,False,
datawhalechina,,STARTUP,https://github.com/datawhalechina,False,
community,,STARTUP,https://github.com/community,False,
ReVanced,,STARTUP,https://github.com/ReVanced,False,
vercel,Vercel,STARTUP,https://github.com/vercel,True,
NVIDIA,NVIDIA,STARTUP,https://github.com/NVIDIA,True,
brahmGAN,,STARTUP,https://github.com/brahmGAN,False,
google-deepmind,Google DeepMind,STARTUP,https://github.com/google-deepmind,True,
apache,,STARTUP,https://github.com/apache,False,
termux,,STARTUP,https://github.com/termux,False,
openclaw,,STARTUP,https://github.com/openclaw,False,
dotnet,,STARTUP,https://github.com/dotnet,False,
unicitynetwork,,STARTUP,https://github.com/unicitynetwork,False,
flutter,,STARTUP,https://github.com/flutter,False,
langchain-ai,,STARTUP,https://github.com/langchain-ai,False,
tensorflow,,STARTUP,https://github.com/tensorflow,False,
GoogleCloudPlatform,,STARTUP,https://github.com/GoogleCloudPlatform,False,
cs50,,STARTUP,https://github.com/cs50,False,
tachiyomiorg,,STARTUP,https://github.com/tachiyomiorg,False,
alibaba,,STARTUP,https://github.com/alibaba,False,
